Starting data collection at: 1520215201579
Connecting to database...
Connected
Spotify access token retrieved
Selected 102877 IDs from artist_info table
1520215203118: 102877 artists left
1520215204121: 102827 artists left
1520215205122: 102777 artists left
1520215206125: 102727 artists left
1520215207127: 102677 artists left
1520215208130: 102627 artists left
1520215209139: 102577 artists left
1520215210142: 102527 artists left
1520215211144: 102477 artists left
1520215212145: 102427 artists left
1520215213149: 102377 artists left
1520215214151: 102327 artists left
1520215215152: 102277 artists left
1520215216155: 102227 artists left
1520215217157: 102177 artists left
1520215218160: 102127 artists left
1520215219162: 102077 artists left
1520215220164: 102027 artists left
1520215221166: 101977 artists left
1520215222168: 101927 artists left
1520215223171: 101877 artists left
1520215224172: 101827 artists left
1520215225174: 101777 artists left
1520215226201: 101727 artists left
1520215227206: 101677 artists left
1520215228210: 101627 artists left
1520215229213: 101577 artists left
1520215230216: 101527 artists left
1520215231219: 101477 artists left
1520215232227: 101427 artists left
1520215233230: 101377 artists left
1520215234232: 101327 artists left
1520215235234: 101277 artists left
1520215236236: 101227 artists left
1520215237237: 101177 artists left
1520215238240: 101127 artists left
1520215239243: 101077 artists left
1520215240244: 101027 artists left
1520215241246: 100977 artists left
1520215242248: 100927 artists left
1520215243251: 100877 artists left
1520215244253: 100827 artists left
1520215245256: 100777 artists left
1520215246258: 100727 artists left
1520215247259: 100677 artists left
1520215248262: 100627 artists left
1520215249264: 100577 artists left
1520215250267: 100527 artists left
1520215251269: 100477 artists left
1520215252270: 100427 artists left
1520215253273: 100377 artists left
1520215254274: 100327 artists left
1520215255277: 100277 artists left
1520215256278: 100227 artists left
1520215257279: 100177 artists left
1520215258283: 100127 artists left
1520215259284: 100077 artists left
1520215260286: 100027 artists left
1520215261289: 99977 artists left
1520215262290: 99927 artists left
1520215263294: 99877 artists left
1520215264297: 99827 artists left
1520215265299: 99777 artists left
1520215266301: 99727 artists left
1520215267302: 99677 artists left
1520215268307: 99627 artists left
1520215269308: 99577 artists left
1520215270310: 99527 artists left
1520215271312: 99477 artists left
1520215272314: 99427 artists left
1520215273317: 99377 artists left
1520215274319: 99327 artists left
1520215275321: 99277 artists left
1520215276323: 99227 artists left
1520215277325: 99177 artists left
1520215278328: 99127 artists left
1520215279330: 99077 artists left
1520215280332: 99027 artists left
1520215281334: 98977 artists left
1520215282336: 98927 artists left
1520215283339: 98877 artists left
1520215284342: 98827 artists left
1520215285344: 98777 artists left
1520215286346: 98727 artists left
1520215287349: 98677 artists left
1520215288352: 98627 artists left
1520215289354: 98577 artists left
1520215290356: 98527 artists left
1520215291358: 98477 artists left
1520215292360: 98427 artists left
1520215293363: 98377 artists left
1520215294366: 98327 artists left
1520215295368: 98277 artists left
1520215296370: 98227 artists left
1520215297375: 98177 artists left
1520215298377: 98127 artists left
1520215299379: 98077 artists left
1520215300380: 98027 artists left
1520215301382: 97977 artists left
1520215302384: 97927 artists left
1520215303386: 97877 artists left
1520215304388: 97827 artists left
1520215305390: 97777 artists left
1520215306391: 97727 artists left
1520215307392: 97677 artists left
1520215308394: 97627 artists left
1520215309396: 97577 artists left
1520215310398: 97527 artists left
1520215311400: 97477 artists left
1520215312401: 97427 artists left
1520215313405: 97377 artists left
1520215314406: 97327 artists left
1520215315408: 97277 artists left
1520215316410: 97227 artists left
1520215317412: 97177 artists left
1520215318414: 97127 artists left
1520215319422: 97077 artists left
1520215320424: 97027 artists left
1520215321425: 96977 artists left
1520215322427: 96927 artists left
1520215323430: 96877 artists left
1520215324432: 96827 artists left
1520215325433: 96777 artists left
1520215326434: 96727 artists left
1520215327436: 96677 artists left
1520215328439: 96627 artists left
1520215329441: 96577 artists left
1520215330443: 96527 artists left
1520215331444: 96477 artists left
1520215332446: 96427 artists left
1520215333448: 96377 artists left
1520215334451: 96327 artists left
1520215335453: 96277 artists left
1520215336455: 96227 artists left
1520215337457: 96177 artists left
1520215338460: 96127 artists left
1520215339462: 96077 artists left
1520215340463: 96027 artists left
1520215341465: 95977 artists left
1520215342467: 95927 artists left
1520215343470: 95877 artists left
1520215344472: 95827 artists left
1520215345473: 95777 artists left
1520215346474: 95727 artists left
1520215347476: 95677 artists left
