Starting data collection at: 1521525602003
Connecting to database...
Connected
Spotify access token retrieved
Selected 146233 IDs from artist_info table
1521525604421: 146233 artists left
1521525605424: 146183 artists left
1521525606425: 146133 artists left
1521525607428: 146083 artists left
1521525608433: 146033 artists left
1521525609435: 145983 artists left
1521525610443: 145933 artists left
1521525611444: 145883 artists left
1521525612446: 145833 artists left
1521525613448: 145783 artists left
1521525614449: 145733 artists left
1521525615451: 145683 artists left
1521525616453: 145633 artists left
1521525617455: 145583 artists left
1521525618457: 145533 artists left
1521525619459: 145483 artists left
1521525620461: 145433 artists left
1521525621463: 145383 artists left
1521525622465: 145333 artists left
1521525623468: 145283 artists left
1521525624470: 145233 artists left
1521525625472: 145183 artists left
1521525626473: 145133 artists left
1521525627475: 145083 artists left
1521525628478: 145033 artists left
1521525629480: 144983 artists left
1521525630481: 144933 artists left
1521525631483: 144883 artists left
1521525632485: 144833 artists left
1521525633488: 144783 artists left
1521525634490: 144733 artists left
1521525635491: 144683 artists left
1521525636493: 144633 artists left
1521525637494: 144583 artists left
1521525638496: 144533 artists left
1521525639498: 144483 artists left
1521525640500: 144433 artists left
1521525641501: 144383 artists left
1521525642503: 144333 artists left
1521525643506: 144283 artists left
1521525644508: 144233 artists left
1521525645509: 144183 artists left
1521525646513: 144133 artists left
1521525647514: 144083 artists left
1521525648517: 144033 artists left
1521525649520: 143983 artists left
1521525650521: 143933 artists left
1521525651523: 143883 artists left
1521525652526: 143833 artists left
1521525653530: 143783 artists left
1521525654532: 143733 artists left
1521525655535: 143683 artists left
1521525656537: 143633 artists left
1521525657539: 143583 artists left
1521525658543: 143533 artists left
1521525659552: 143483 artists left
1521525660554: 143433 artists left
1521525661556: 143383 artists left
1521525662557: 143333 artists left
1521525663560: 143283 artists left
1521525664563: 143233 artists left
1521525665565: 143183 artists left
1521525666566: 143133 artists left
1521525667568: 143083 artists left
1521525668571: 143033 artists left
1521525669572: 142983 artists left
1521525670574: 142933 artists left
1521525671576: 142883 artists left
1521525672579: 142833 artists left
1521525673582: 142783 artists left
1521525674584: 142733 artists left
1521525675585: 142683 artists left
1521525676587: 142633 artists left
1521525677589: 142583 artists left
1521525678592: 142533 artists left
1521525679593: 142483 artists left
1521525680595: 142433 artists left
1521525681597: 142383 artists left
1521525682599: 142333 artists left
1521525683601: 142283 artists left
1521525684604: 142233 artists left
1521525685605: 142183 artists left
1521525686606: 142133 artists left
1521525687608: 142083 artists left
1521525688612: 142033 artists left
1521525689614: 141983 artists left
1521525690616: 141933 artists left
1521525691618: 141883 artists left
1521525692620: 141833 artists left
1521525693622: 141783 artists left
1521525694625: 141733 artists left
1521525695627: 141683 artists left
1521525696628: 141633 artists left
1521525697631: 141583 artists left
1521525698636: 141533 artists left
1521525699638: 141483 artists left
1521525700640: 141433 artists left
1521525701642: 141383 artists left
1521525702644: 141333 artists left
1521525703646: 141283 artists left
1521525704648: 141233 artists left
1521525705650: 141183 artists left
1521525706651: 141133 artists left
1521525707652: 141083 artists left
1521525708654: 141033 artists left
1521525709656: 140983 artists left
1521525710657: 140933 artists left
1521525711659: 140883 artists left
1521525712661: 140833 artists left
1521525713663: 140783 artists left
1521525714665: 140733 artists left
1521525715667: 140683 artists left
1521525716669: 140633 artists left
1521525717670: 140583 artists left
1521525718673: 140533 artists left
1521525719675: 140483 artists left
1521525720682: 140433 artists left
1521525721684: 140383 artists left
1521525722686: 140333 artists left
1521525723690: 140283 artists left
1521525724692: 140233 artists left
1521525725694: 140183 artists left
1521525726695: 140133 artists left
1521525727699: 140083 artists left
1521525728702: 140033 artists left
1521525729704: 139983 artists left
1521525730705: 139933 artists left
1521525731708: 139883 artists left
1521525732711: 139833 artists left
1521525733714: 139783 artists left
1521525734715: 139733 artists left
1521525735717: 139683 artists left
1521525736719: 139633 artists left
1521525737721: 139583 artists left
1521525738723: 139533 artists left
1521525739725: 139483 artists left
1521525740726: 139433 artists left
1521525741727: 139383 artists left
1521525742729: 139333 artists left
1521525743732: 139283 artists left
1521525744732: 139233 artists left
1521525745733: 139183 artists left
1521525746735: 139133 artists left
1521525747737: 139083 artists left
1521525748740: 139033 artists left
1521525749742: 138983 artists left
1521525750744: 138933 artists left
1521525751746: 138883 artists left
1521525752748: 138833 artists left
1521525753750: 138783 artists left
1521525754752: 138733 artists left
1521525755754: 138683 artists left
1521525756755: 138633 artists left
1521525757757: 138583 artists left
1521525758760: 138533 artists left
1521525759762: 138483 artists left
1521525760764: 138433 artists left
1521525761765: 138383 artists left
1521525762766: 138333 artists left
1521525763770: 138283 artists left
1521525764772: 138233 artists left
1521525765774: 138183 artists left
1521525766776: 138133 artists left
1521525767778: 138083 artists left
