Starting data collection at: 1524974402087
Connecting to database...
Connected
Spotify access token retrieved
Found 73867 artists with new music in the last 2 weeks.
Starting to look for 60010 unique artist details, but sleeping first
Sleeping for 120
1524975368538: 60010 artists left
1524975370041: 59960 artists left
1524975371545: 59910 artists left
1524975373048: 59860 artists left
1524975374551: 59810 artists left
1524975376059: 59760 artists left
1524975377562: 59710 artists left
1524975379063: 59660 artists left
1524975380565: 59610 artists left
1524975382067: 59560 artists left
1524975383569: 59510 artists left
1524975385072: 59460 artists left
1524975386577: 59410 artists left
1524975388079: 59360 artists left
1524975389580: 59310 artists left
1524975391083: 59260 artists left
1524975392584: 59210 artists left
1524975394086: 59160 artists left
1524975395588: 59110 artists left
1524975397091: 59060 artists left
1524975398593: 59010 artists left
1524975400095: 58960 artists left
1524975401597: 58910 artists left
1524975403098: 58860 artists left
1524975404600: 58810 artists left
1524975406101: 58760 artists left
1524975407602: 58710 artists left
1524975409104: 58660 artists left
1524975410606: 58610 artists left
1524975412107: 58560 artists left
1524975413609: 58510 artists left
1524975415112: 58460 artists left
1524975416614: 58410 artists left
1524975418115: 58360 artists left
1524975419618: 58310 artists left
1524975421119: 58260 artists left
1524975422621: 58210 artists left
1524975424124: 58160 artists left
1524975425625: 58110 artists left
1524975427126: 58060 artists left
1524975428629: 58010 artists left
1524975430131: 57960 artists left
1524975431633: 57910 artists left
1524975433134: 57860 artists left
1524975434636: 57810 artists left
1524975436139: 57760 artists left
1524975437640: 57710 artists left
1524975439141: 57660 artists left
1524975440643: 57610 artists left
1524975442146: 57560 artists left
1524975443648: 57510 artists left
1524975445149: 57460 artists left
1524975446650: 57410 artists left
1524975448153: 57360 artists left
1524975449654: 57310 artists left
1524975451156: 57260 artists left
1524975452659: 57210 artists left
1524975454161: 57160 artists left
1524975455662: 57110 artists left
1524975457165: 57060 artists left
1524975458666: 57010 artists left
1524975460169: 56960 artists left
1524975461670: 56910 artists left
1524975463172: 56860 artists left
1524975464674: 56810 artists left
1524975466176: 56760 artists left
1524975467678: 56710 artists left
1524975469179: 56660 artists left
1524975470681: 56610 artists left
1524975472183: 56560 artists left
1524975473684: 56510 artists left
1524975475187: 56460 artists left
1524975476689: 56410 artists left
1524975478190: 56360 artists left
1524975479692: 56310 artists left
1524975481193: 56260 artists left
1524975482696: 56210 artists left
1524975484197: 56160 artists left
1524975485699: 56110 artists left
1524975487201: 56060 artists left
1524975488703: 56010 artists left
1524975490204: 55960 artists left
1524975491706: 55910 artists left
1524975493207: 55860 artists left
1524975494710: 55810 artists left
1524975496211: 55760 artists left
1524975497713: 55710 artists left
1524975499215: 55660 artists left
1524975500717: 55610 artists left
1524975502219: 55560 artists left
1524975503722: 55510 artists left
1524975505223: 55460 artists left
1524975506725: 55410 artists left
1524975508227: 55360 artists left
1524975509729: 55310 artists left
1524975511231: 55260 artists left
1524975512733: 55210 artists left
1524975514234: 55160 artists left
1524975515735: 55110 artists left
1524975517237: 55060 artists left
1524975518739: 55010 artists left
1524975520240: 54960 artists left
1524975521742: 54910 artists left
1524975523244: 54860 artists left
1524975524746: 54810 artists left
1524975526248: 54760 artists left
1524975527749: 54710 artists left
1524975529251: 54660 artists left
1524975530753: 54610 artists left
1524975532255: 54560 artists left
